SourceFile,ExifToolVersion,CreateDate,ModifyDate,Make,Model,ShutterSpeedValue,ApertureValue,SubjectDistance,MeteringMode,Flash,FocalLength,ExposureMode,FocalLengthIn35mmFormat,LensInfo,City,Province-State,By-line,Caption-Abstract,CopyrightNotice,Description,Creator
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-007.jpg,12.76,2022:10:21 19:35:33,2022:10:24 09:19:13,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-003.jpg,12.76,2022:10:21 19:21:39,2022:10:24 09:18:22,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",269.0 mm,Manual,269 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-017.jpg,12.76,2022:10:21 20:44:41,2022:10:24 09:20:53,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",269.0 mm,Manual,269 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-016.jpg,12.76,2022:10:21 20:37:36,2022:10:24 09:20:50,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-002.jpg,12.76,2022:10:21 19:17:08,2022:10:24 09:17:55,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-014.jpg,12.76,2022:10:21 20:31:48,2022:10:24 09:20:51,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-001.jpg,12.76,2022:10:21 19:17:08,2022:10:24 09:20:39,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-015.jpg,12.76,2022:10:21 20:31:48,2022:10:24 09:21:00,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-018.jpg,12.76,2022:10:21 20:44:42,2022:10:24 09:20:48,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",269.0 mm,Manual,269 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-019.jpg,12.76,2022:10:21 20:51:44,2022:10:24 09:21:55,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",235.0 mm,Manual,235 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-022.jpg,12.76,2022:10:21 21:01:11,2022:10:24 09:21:07,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",120.0 mm,Manual,120 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-023.jpg,12.76,2022:10:21 19:11:38,2022:10:24 10:13:35,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-021.jpg,12.76,2022:10:21 20:57:05,2022:10:24 09:21:02,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",161.0 mm,Manual,161 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-009.jpg,12.76,2022:10:21 19:40:58,2022:10:24 09:19:40,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-008.jpg,12.76,2022:10:21 19:40:17,2022:10:24 09:19:22,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
